Species,Region,Collection_Date,Count
Actinidia seed borne latent virus,Oceans and Seas,2013.0,2
Actinidia seed-borne latent like virus,Asia,2018.0,1
Actinidia virus 1,Asia,2014.0,1
Actinidia virus 1,Asia,2015.0,1
Actinidia virus 1,Asia,2016.0,3
Actinidia virus 1,Asia,2017.0,13
Actinidia virus 1,Asia,2018.0,3
Actinidia virus 1,Asia,2019.0,7
Actinidia virus 1,Europa,2011.0,2
Actinidia virus A,Asia,2012.0,2
Actinidia virus A,Asia,2016.0,1
Actinidia virus A,Asia,2017.0,33
Actinidia virus A,Asia,2018.0,13
Actinidia virus A,Asia,2019.0,22
Actinidia virus A,Oceans and Seas,2007.0,2
Actinidia virus B,Asia,2012.0,2
Actinidia virus B,Asia,2016.0,1
Actinidia virus B,Asia,2017.0,16
Actinidia virus B,Asia,2018.0,8
Actinidia virus B,Asia,2019.0,22
Actinidia virus B,Oceans and Seas,2007.0,2
Actinidia virus C,Asia,2018.0,17
Actinidia virus C,Asia,2019.0,1
Actinidia virus X,Africa,2011.0,1
Actinidia virus X,Europa,1976.0,1
Actinidia virus X,Europa,1977.0,1
Actinidia virus X,Europa,2018.0,15
Actinidia virus X,North America,2008.0,2
Actinidia virus X,Oceans and Seas,2005.0,1
Actinidia yellowing ringspot virus,Asia,2018.0,15
Actinidia yellowing virus 1,Asia,2018.0,1
Actinidia yellowing virus 2,Asia,2018.0,1
Actinomyces phage LC001,North America,2016.0,1
Acute bee paralysis virus,Africa,2012.0,3
Acute bee paralysis virus,Africa,2017.0,1
Acute bee paralysis virus,Africa,2018.0,1
Acute bee paralysis virus,Asia,2007.0,4
Acute bee paralysis virus,Asia,2010.0,2
Acute bee paralysis virus,Asia,2011.0,1
Acute bee paralysis virus,Asia,2012.0,1
Acute bee paralysis virus,Asia,2013.0,2
Acute bee paralysis virus,Asia,2014.0,1
Acute bee paralysis virus,Asia,2016.0,26
Acute bee paralysis virus,Asia,2017.0,3
Acute bee paralysis virus,Asia,2018.0,18
Acute bee paralysis virus,Asia,2019.0,10
Acute bee paralysis virus,Asia,2020.0,9
Acute bee paralysis virus,Europa,2007.0,2
Acute bee paralysis virus,Europa,2008.0,5
Acute bee paralysis virus,Europa,2009.0,2
Acute bee paralysis virus,Europa,2010.0,16
Acute bee paralysis virus,Europa,2011.0,7
Acute bee paralysis virus,Europa,2013.0,1
Acute bee paralysis virus,Europa,2014.0,13
Acute bee paralysis virus,Europa,2015.0,55
Acute bee paralysis virus,Europa,2016.0,17
Acute bee paralysis virus,Europa,2017.0,20
Acute bee paralysis virus,Europa,2018.0,3
Acute bee paralysis virus,Europa,2020.0,1
Acute bee paralysis virus,North America,2008.0,4
Acute bee paralysis virus,North America,2009.0,3
Acute bee paralysis virus,North America,2011.0,1
Acute bee paralysis virus,North America,2015.0,1
Acute bee paralysis virus,South America,2010.0,1
Acute bee paralysis virus,South America,2015.0,1
Acute bee paralysis virus,South America,2022.0,5
Acyrthosiphon pisum virus,Asia,2016.0,1
Acyrthosiphon pisum virus,Asia,2018.0,1
Acyrthosiphon pisum virus,Europa,2014.0,1
Acyrthosiphon pisum virus,North America,2017.0,5
Adagum virus,Europa,2016.0,1
Adana phlebovirus,Asia,2012.0,6
Adelaide River ephemerovirus,Oceans and Seas,1981.0,2
Adelphocoris suturalis virus,Asia,2015.0,2
Adeno-Associated Virus Clade A,Asia,2013.0,33
Adeno-Associated Virus Clade C,Asia,2013.0,2
Adeno-Associated Virus Clade D,Asia,2013.0,2
Adeno-Associated Virus PREDICT_AaV-10,Asia,2013.0,3
Adeno-Associated Virus PREDICT_AaV-11,Asia,2013.0,6
Adeno-Associated Virus PREDICT_AaV-5,Asia,2013.0,1
Adeno-Associated Virus PREDICT_AaV-6,Asia,2013.0,2
Adeno-Associated Virus PREDICT_AaV-7,Asia,2013.0,2
Adeno-Associated Virus PREDICT_AaV-8,Asia,2013.0,4
Adeno-Associated Virus PREDICT_AaV-9,Asia,2013.0,1
Adeno-Associated Virus rh.8,Asia,2013.0,32
Adeno-associated dependoparvovirus A,Africa,2015.0,14
Adeno-associated dependoparvovirus A,Asia,2015.0,60
Adeno-associated dependoparvovirus A,Asia,2016.0,2
Adeno-associated dependoparvovirus A,Europa,2022.0,30
Adeno-associated dependoparvovirus B,Asia,2020.0,1
Adeno-associated dependoparvovirus B,North America,2013.0,1
Adeno-associated virus,Asia,2014.0,7
Adeno-associated virus,Asia,2015.0,27
Adeno-associated virus,Asia,2016.0,7
Adeno-associated virus,Asia,2020.0,2
Adeno-associated virus,Europa,1900.0,1
Adeno-associated virus,Europa,1986.0,1
Adeno-associated virus,Europa,1990.0,1
Adeno-associated virus,Europa,1991.0,1
Adeno-associated virus,Europa,1996.0,1
Adeno-associated virus,Europa,1997.0,1
Adeno-associated virus,Europa,1998.0,2
Adeno-associated virus,Europa,2000.0,2
Adeno-associated virus,Europa,2001.0,6
Adeno-associated virus,Europa,2002.0,4
Adeno-associated virus,Europa,2003.0,2
Adeno-associated virus,Europa,2004.0,7
Adeno-associated virus,Europa,2005.0,5
Adeno-associated virus,Europa,2006.0,7
Adeno-associated virus,Europa,2007.0,5
Adeno-associated virus,Europa,2008.0,5
Adeno-associated virus,Europa,2010.0,3
Adeno-associated virus,Europa,2011.0,5
Adeno-associated virus,Europa,2012.0,1
Adeno-associated virus,Europa,2013.0,3
Adeno-associated virus,Europa,2014.0,2
Adeno-associated virus,Europa,2015.0,4
Adeno-associated virus,Europa,2016.0,3
Adeno-associated virus,North America,2009.0,25
Adeno-associated virus,North America,2016.0,1
Adeno-associated virus,North America,2017.0,23
Adeno-associated virus,North America,2018.0,60
Adeno-associated virus,Oceans and Seas,2016.0,3
Adeno-associated virus,Oceans and Seas,2017.0,7
Adeno-associated virus - Po1,North America,2006.0,1
Adeno-associated virus - Po2,North America,2006.0,1
Adeno-associated virus - Po3,North America,2006.0,1
Adeno-associated virus Croatia cul1_12,Europa,2017.0,1
Adenoviridae sp.,Africa,2016.0,1
Adenoviridae sp.,Asia,2014.0,1
Adenoviridae sp.,Asia,2018.0,7
Adenoviridae sp.,Europa,2014.0,2
Adenoviridae sp.,Europa,2015.0,4
Adenovirus Hu/RJ/2006-08/Brazil/2006,South America,2006.0,1
Adenovirus Hu/RJ/2006-13/Brazil/2006,South America,2006.0,1
Adenovirus Hu/RJ/2006-14/Brazil/2006,South America,2006.0,1
Adenovirus Hu/RJ/2008-317/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-318/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-319/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-320/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-322/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-323/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-324/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-334/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-335/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-337/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-338/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-339/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-340/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-341/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-342/Brazil/2008,South America,2008.0,1
Adenovirus Hu/RJ/2008-356/Brazil/2008,South America,2008.0,1
Adenovirus Lopburi057/2006/THA,Asia,2006.0,1
Adenovirus Lopburi070/2006/THA,Asia,2006.0,1
Adenovirus Lopburi073/2006/THA,Asia,2006.0,1
Adenovirus Lopburi078/2006/THA,Asia,2006.0,1
Adenovirus PREDICT_AdV-12,Asia,2010.0,1
Adenovirus PREDICT_AdV-13,South America,2010.0,1
Adenovirus PREDICT_AdV-13,South America,2011.0,6
Adenovirus PREDICT_AdV-14,South America,2010.0,1
Adenovirus PREDICT_AdV-15,South America,2010.0,2
Adenovirus PREDICT_AdV-16,South America,2009.0,5
Adenovirus PREDICT_AdV-17,Africa,2009.0,1
Adenovirus PREDICT_AdV-17,Africa,2011.0,1
Adenovirus PREDICT_AdV-18,Africa,2009.0,2
Adenovirus PREDICT_AdV-19,Africa,2009.0,1
Adenovirus PREDICT_AdV-2,Africa,2011.0,1
Adenovirus PREDICT_AdV-20,Africa,2009.0,1
Adenovirus PREDICT_AdV-21,Africa,2010.0,2
Adenovirus PREDICT_AdV-22,Africa,2009.0,1
